Fold	Label	Score_0	Score
3.0	1.0	0.22	0.78
3.0	1.0	0.53	0.47
3.0	1.0	0.06	0.94
3.0	1.0	0.13	0.87
3.0	1.0	0.23	0.77
3.0	1.0	0.04	0.96
3.0	1.0	0.43	0.57
3.0	1.0	0.16	0.84
3.0	1.0	0.5	0.5
3.0	1.0	0.27	0.73
3.0	1.0	0.82	0.18
3.0	1.0	0.01	0.99
3.0	1.0	0.08	0.92
3.0	1.0	0.49	0.51
3.0	1.0	0.29	0.71
3.0	1.0	0.49	0.51
3.0	1.0	0.25	0.75
4.0	1.0	0.1	0.9
4.0	1.0	0.34	0.66
4.0	1.0	0.41	0.59
4.0	1.0	0.15	0.85
4.0	1.0	0.08	0.92
4.0	1.0	0.3	0.7
4.0	1.0	0.07	0.93
4.0	1.0	0.45	0.55
4.0	1.0	0.17	0.83
4.0	1.0	0.21	0.79
4.0	1.0	0.01	0.99
4.0	1.0	0.16	0.84
4.0	1.0	0.15	0.85
4.0	1.0	0.56	0.44
4.0	1.0	0.07	0.93
4.0	1.0	0.25	0.75
4.0	1.0	0.03	0.97
4.0	1.0	0.58	0.42
4.0	1.0	0.57	0.43
4.0	1.0	0.44	0.56
4.0	1.0	0.02	0.98
4.0	1.0	0.4	0.6
4.0	1.0	0.97	0.03
4.0	1.0	0.89	0.11
0.0	0.0	0.73	0.27
0.0	0.0	0.74	0.26
0.0	0.0	0.76	0.24
0.0	0.0	0.52	0.48
0.0	0.0	0.78	0.22
0.0	0.0	0.8	0.2
0.0	0.0	0.45	0.55
0.0	0.0	0.6	0.4
0.0	0.0	0.57	0.43
0.0	0.0	0.47	0.53
0.0	0.0	0.88	0.12
0.0	0.0	0.78	0.22
0.0	0.0	0.59	0.41
0.0	0.0	0.6	0.4
0.0	0.0	0.57	0.43
0.0	0.0	0.87	0.13
0.0	0.0	0.71	0.29
0.0	0.0	0.37	0.63
0.0	0.0	0.76	0.24
0.0	0.0	0.77	0.23
0.0	0.0	0.69	0.31
0.0	0.0	0.64	0.36
0.0	0.0	0.69	0.31
0.0	0.0	0.71	0.29
1.0	0.0	0.21	0.79
1.0	0.0	0.56	0.44
1.0	0.0	0.93	0.07
1.0	0.0	0.62	0.38
1.0	0.0	0.79	0.21
1.0	0.0	0.89	0.11
1.0	0.0	0.86	0.14
1.0	0.0	0.78	0.22
1.0	0.0	0.51	0.49
1.0	0.0	0.83	0.17
1.0	0.0	0.78	0.22
1.0	0.0	0.77	0.23
1.0	0.0	0.7	0.3
1.0	0.0	0.94	0.06
1.0	0.0	0.79	0.21
1.0	0.0	0.89	0.11
1.0	0.0	0.87	0.13
1.0	0.0	0.88	0.12
1.0	0.0	0.98	0.02
1.0	0.0	0.85	0.15
1.0	0.0	0.91	0.09
1.0	0.0	0.83	0.17
1.0	0.0	0.88	0.12
1.0	0.0	0.88	0.12
2.0	0.0	0.84	0.16
2.0	0.0	0.92	0.08
2.0	0.0	0.65	0.35
2.0	0.0	0.79	0.21
2.0	0.0	0.93	0.07
2.0	0.0	0.92	0.08
2.0	0.0	0.8	0.2
2.0	0.0	0.92	0.08
2.0	0.0	0.66	0.34
2.0	0.0	0.81	0.19
2.0	0.0	0.84	0.16
2.0	0.0	0.28	0.72
2.0	0.0	0.87	0.13
2.0	0.0	0.92	0.08
2.0	0.0	0.44	0.56
2.0	0.0	0.84	0.16
2.0	0.0	0.8	0.2
2.0	0.0	0.66	0.34
2.0	0.0	0.92	0.08
2.0	0.0	0.95	0.05
2.0	0.0	0.87	0.13
2.0	0.0	0.53	0.47
2.0	0.0	0.69	0.31
2.0	0.0	0.74	0.26
3.0	0.0	0.94	0.06
3.0	0.0	0.92	0.08
3.0	0.0	0.87	0.13
3.0	0.0	0.95	0.05
3.0	0.0	0.78	0.22
3.0	0.0	0.97	0.03
3.0	0.0	0.7	0.3
3.0	0.0	0.86	0.14
3.0	0.0	0.86	0.14
3.0	0.0	0.21	0.79
3.0	0.0	0.96	0.04
3.0	0.0	0.85	0.15
3.0	0.0	0.78	0.22
3.0	0.0	0.73	0.27
3.0	0.0	0.92	0.08
3.0	0.0	0.91	0.09
3.0	0.0	0.93	0.07
3.0	0.0	0.89	0.11
3.0	0.0	0.9	0.1
3.0	0.0	0.21	0.79
3.0	0.0	0.92	0.08
3.0	0.0	0.94	0.06
3.0	0.0	0.52	0.48
3.0	0.0	0.87	0.13
4.0	0.0	0.92	0.08
4.0	0.0	0.62	0.38
4.0	0.0	0.73	0.27
4.0	0.0	0.86	0.14
4.0	0.0	0.95	0.05
4.0	0.0	0.67	0.33
4.0	0.0	0.42	0.58
4.0	0.0	0.96	0.04
4.0	0.0	0.87	0.13
4.0	0.0	0.85	0.15
4.0	0.0	0.68	0.32
4.0	0.0	0.92	0.08
4.0	0.0	0.95	0.05
4.0	0.0	0.51	0.49
4.0	0.0	0.65	0.35
4.0	0.0	0.87	0.13
4.0	0.0	0.87	0.13
4.0	0.0	0.61	0.39
4.0	0.0	0.76	0.24
4.0	0.0	0.97	0.03
4.0	0.0	0.97	0.03
4.0	0.0	0.97	0.03
4.0	0.0	0.83	0.17
